Comp,RIOTs,Evidence,Assessment,Criteria
"4.7.1.1 Understand 
the key design 
principles and 
operation of 
Oncology 
Information Systems","o  MSc coursework 
o  Read and summarise references on OISs such as 
IPEM93 
o  Observe the use of OIS in a clinical department 
for, for example: 
o  Patient booking and scheduling  
o  Medical records 
o  Record and verify system 
o 
Image storage 
o  Dosimetry information 
o  Read and summarize references on electronic 
communication standards used in radiation 
oncology such as DICOM, DICOM RT, HL7 
o  Read and summarise reports and literature on 
radiation accidents and incidents attributed to 
human error.  
o  Discuss with RT, IT and other relevant staff how 
they use the OIS.  Write summary notes on this.  
o  Observe use of an R&V system for patient 
treatment, assist if possible. 
o  Participate in physics QA tasks using R&V 
system (e.g. IMRT QA)","o  MSc coursework 
o  Summary notes.  
o  Logbook notes. 
o  Map of dataflow to 
and from OIS","o  Recognition of 
Prior Learning 
o  Review and Q&A 
with Assessor  
o  Demonstration to 
assessor","o  Describes the key purpose, design principles and operation 
of an Oncology Information System, for example, using a 
map dataflow diagram which identifies where data is 
sourced (such as patient demographics) and where data is 
distributed (such as billing or treatment delivery system). 
o  Describes the implementation planning phase for an 
Oncology Information System, including, for example: 
o  Engagement of stakeholders and establishment of multi-
disciplinary team 
o  System map and interdependencies 
o  Relational database design and operation 
o  Time and resource allocation 
o  Network security 
o  Data security requirements 
o  Data integrity requirements 
o  Training plan 
o  Describes electronic communication standards (e.g. 
Ethernet, FTP, DICOM, DICOM-RT, HL7) 
o  Discusses impact and importance of OIS in minimising risk 
for radiotherapy practice and the need to quality assure 
these systems 
o  Describes purpose and administration of a R&V system and 
its place in the wider oncology information system 
o  Explains how data is entered into a R&V system and how it 
is checked 
o  Explains key features of a R&V system (e.g. tolerance tables, 
interlocks, user rights and warnings)"
"4.7.2.1 Perform 
acceptance tests for 
an Oncology 
Information System","o  Read and summarise references, such as 
IPEM93 
o  Read previous departmental acceptance reports. 
o  Perform acceptance tests on a new or upgraded 
system or repeat acceptance procedure for an 
existing system 
o  Consult and coordinate with RT, IT and other 
relevant staff in their roles in acceptance of the 
OIS.","o  Summary notes. 
o  Acceptance report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Explains goals of acceptance testing and general order of the 
tests. 
o  Identifies appropriate legislative requirements  
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., IPEM Report 93 or vendor protocol 
o  Identifies differences between vendor protocol and a 
published protocol, such as IPEM 93 
o  Identifies limitations and tolerances 
o  Draws appropriate conclusions from results 
o  Explains relationship between acceptance tests and ongoing 
QA."
"5.5.2.1 Compare 
treatment plans 
against quality 
control benchmarks","o  Perform research to identify suitable 
benchmarks, for example, Handbook of 
Evidence based Radiation Oncology (2010), 
QANTEC guidelines, clinical trial requirements 
o  Attend multi-disciplinary planning audit 
meetings 
o  Attend conference presentations on evidence 
based radiation oncology. 
o  For a variety of body sites and plan types, 
compare plans against benchmarks for dose to 
target and organs at risk.","o 
Set of plans with 
accompanying 
notes on whether 
plan meets 
benchmarks","o  Describe process 
of plan 
comparison to 
assessor","o  For at least two different treatment types, including 3D 
conformal and IMRT/VMAT: 
o  selects suitable quality control benchmark and justifies 
choice 
o  selects appropriate tools for the task  such as 2D or 3D 
isodoses, DVH, dose conformity indices, biological indices  
o 
interprets information from tools correctly 
o  correctly identifies whether plans meet benchmarks"
"5.5.2.2 Perform QC of 
individual treatment 
plans","o  Review the local department plan checking 
protocol. 
o  For a variety of body sites and plan types, 
complete QC check of patient plans using the 
local departmental checklist(s).","o  Range of 
completed 
checklists","o  Assessor review 
of checklists, plus 
Q&A session  
o  Passing internal 
credentialing 
exam","o  For at least four different treatment types: 
o  Correctly checks that plan meets local protocol 
requirements 
o  Analyses the plan as a whole and not just each check item 
o  Describes the purpose of each check 
o  Performs checks in an appropriate order  
o 
Identifies and follows up on any plan errors 
o  Discusses implications of plan errors 
o  Meets minimum reporting requirements from ICRU and 
Tripartite Committee Radiation Oncology Practice Standards 
(2011) 
o  Understands the different checks required for different 
types of treatment (kV vs. MV etc.)"
"5.5.2.3 Check 
dose/MU/time 
accuracy with an 
independent 
dosimetry 
calculation system","o  For a variety of body sites and plan types, 
perform independent MU/time/dose 
calculations using the standard departmental 
system (could be an independent MU check 
program or manual calculations).  Should 
include MV photon, MV electron and kV photon 
calculations in the set, plus special techniques 
where used.","o 
Independent MU 
calculation 
worksheets","o 
Supervisor review 
of worksheets, 
plus Q&A session 
o  Passing internal 
credentialing 
exam","o  Produces correct independent MU checks for a range of 
patients including MV photons, MeV electrons and kV 
photons, until the following criteria are met: 
o  Can explain algorithms used by the independent check 
systems 
o  Understands common sources of discrepancy between 
independent check systems and TPS, such as corrections 
for tissue inhomogeneity or lack of scatter 
o 
Interprets results, identifying when the difference 
between independent calculation and TPS is outside 
tolerance limits 
o  Follows up out of tolerance results in accordance with 
departmental protocol"
"2.6.1.1 Identify risk 
factors and 
associated 
engineering and 
administrative 
controls with 
radiation exposure","o  MSc coursework 
o  Read and summarise relevant textbooks 
o  Read and summarise IAEA incident reports 
o  Talk with colleagues 
o  Read radiation safety manual 
o  Attend risk management discussion","o  MSc assessment 
o  Logbook notes","o  RPL 
o  Q&A session with 
assessor.","o 
Identifies risks that leads to incidents, e.g. understaffing, 
untrained staff, malfunction of equipment, human error 
o 
Identifies control methods for risks, e.g., safe practice 
policies, radiation management plan, correct procedure, 
correct patient, correct site, interlocks, building design, 
warning systems, quality control systems, redundant 
checking 
o  Communicates risks and mitigations to relevant groups"
"2.6.1.2 Describe 
procedures to be 
followed in the event 
of common radiation 
incidents","o  Read departmental safety protocols.  
o 
Summarise step by step processes for common 
scenarios, e.g., mistreatment of patient, HDR 
emergency, spill of radio-nuclide, accidental 
exposure of staff member.  
o  Participate in the local Radiation Safety 
Committee or review their minutes to 
understand the data management process.","o 
Short report with 
steps to be 
followed to 
address issue.","o  Assessor review 
of reports. 
o  Q&A session with 
assessor.","o  Demonstrates basic knowledge of managing the incident:  
o  Ensure situation is safe, (e.g. beam off, secure HDR 
source, secure area) 
o  Communicate with those involved in the incident 
o  Perform investigation, e.g., root cause analysis  
o  Debriefing  
o  Dose estimation  
o  Reporting to authority.  
o  Knowledge of common accidents e.g. IAEA reports"
"2.6.2.1 Perform 
emergency response 
procedures 
according to existing 
protocols","o  Participate in training drills, e.g., HDR 
emergency procedures, radioactive spills, loss 
of radioactive source during brachytherapy 
implantation.",o  Log book notes,"o  Assessment by 
observation","o  Follows protocol in managing the incident:  
o  Performs activities in a timely manner  
o  Performs appropriate actions 
o  Ensures situation is safe, e.g., beam off, secure HDR 
source, secure area 
o  Communicates with those involved in the incident 
o  Reports to authority."
"2.6.2.2 Estimate dose 
to individuals in the 
event of accidental 
exposure to radiation","o  Mock scenarios, e.g., from contact with patients 
after a nuclear medicine procedure, staff 
member in bunker during treatment, HDR 
emergency, contact with a patient with a 
permanent brachytherapy implant",o  Dose estimates,"o  Assessor review 
of measurements 
and calculations","o  Determines correct calculation results 
o  Makes appropriate judgments on results"
"7.3.1.1 Understand 
the principles of 
procurement of 
radiotherapy 
equipment","o  Read and summarize key references on 
equipment procurement such as Setting up a 
Radiotherapy Programme: Clinical, Medical 
Physics, Radiation Protection and Safety Aspects, 
IAEA 2008  
o  Review RANZCR Faculty of Radiation Oncology  
Position Paper Techniques And Technologies  
In Radiation Oncology 2012 Horizon Scan 
http://www.ranzcr.edu.au/resources/professio
nal-documents/position-statements 
o  Review and report (in a mock scenario if 
necessary) on department needs for an item of  
new equipment such as a therapy unit, imaging 
system, brachytherapy system, treatment 
planning system or physics dosimetry 
equipment, considering 
o  Clinical need 
o  Equipment functionality and performance 
o  Compatibility with existing equipment 
o  Training requirements 
o  Maintenance and service requirements 
o  Review new and emerging technology and how 
it may relate to department 
o  For one of the equipment types listed above, 
perform market research to identify available 
equipment, functionality for each and how it 
relates to your department5. Prepare a 
summary table comparing the different options. 
o  Review legislative requirements and 
international recommendations on safety of 
equipment. 
o  Review tender documentation previously used 
in the department or available on Moodle 
o  Complete Moodle assignment. 
o  Attend multidisciplinary equipment 
procurement meetings. 
o  Review and report on departmental procedures 
for equipment procurement including: 
o  Development of specifications and tender 
documents (if applicable) 
o  Evaluation of tender responses against 
specifications 
o  Cost evaluation (equipment plus 
operational) 
o  Negotiations with vendors 
o  Purchase recommendation
","o  Oral presentation 
on departmental 
needs for new 
equipment 
o  Completed 
Moodle exercise 
o 
Summary table of 
market research","o  Review of 
evidence 
o  Q&A","o 
Identifies key steps in the equipment procurement process 
and explains their importance, including 
o 
Identification of clinical need 
o 
Functionality requirements 
o 
Training requirements 
o 
Maintenance and service requirements 
o 
Resource requirements 
o 
Preparation of a business case 
o 
Development of specifications and tender 
documents 
o 
Evaluation of tender responses 
o  Explains links between equipment procurement processes 
and acceptance testing of new equipment 
o  Demonstrates an understanding of recommendations for 
equipment safety"
"7.2.1.3 Understand 
key quality 
management 
principles","o  Read and summarize references on the 
principles of quality management such as 
Standards Australia / Standards New Zealand 
o  Read and summarize references on the role of 
quality management in  radiotherapy such as 
Leer et al, ESTRO Physics Booklet 4, 2008 
o  Review the department’s quality management 
system 
o  Attend and actively participate in physics 
quality assurance meetings 
o  Understand  the development of procedures 
and policies for the department’s quality 
management system 
o  Attend hospital training sessions on quality 
management and quality auditing 
o  Attend meetings or review meeting minutes of 
the hospital quality committee  
o  Observe or review departmental/hospital 
quality audits","o  Oral presentation 
on quality 
management 
principles and 
their application 
in radiotherapy 
o  Reflective writing 
on quality 
improvement 
activities in the 
department","o  Review of 
evidence 
o  Q&A","o  Lists the key principles of quality management and explains 
their purpose, for example as defined by Standards 
Australia/Standards New Zealand (plan, do, check, act) 
o  Explains the meaning of key terms such as quality, quality 
process, quality assurance, quality control, quality 
management and quality audit 
o  Describes the importance of a quality management system 
for a radiation oncology department 
o  Describes the purpose of key elements of quality 
management systems including 
o  organizational structure  
o  documentation of quality policy and procedures (quality 
manual) 
o  resource requirements including workforce 
o  responsibilities 
o  role of multi-disciplinary team 
o  quality review mechanisms 
o  Demonstrates familiarity with the quality management 
system used in own department through actively complying 
with policies and procedures"
"7.2.2.1. Apply the 
principles of quality 
management","o 
Investigate how Tripartite Standards apply 
within department 
o  Contribute to the development of procedures 
and policies for the department’s quality 
management system 
o  Participate in departmental/hospital quality 
audits (e.g. ISO9000, ISO9001) 
o  Perform a risk assessment","o  Quality 
management 
documents to 
which registrar 
has contributed 
o  Reports from 
quality audits 
o  Formal review of 
a reported 
incident 
o  Completed risk 
assessment","o  Review of 
evidence 
o  Q&A","o  Describes how departmental quality management system 
aligns with Tripartite Standards 
o  Contributes to quality improvement activities such as  
o  Documentation of quality policy 
o  Documentation of quality procedures (quality manual) 
o  Contributing to quality audit 
o  Contribute to training on quality"
"4.7.3.1 Perform 
quality management 
and provide 
scientific advice on 
Oncology 
Information Systems","o  Participate in managing commissioning of a 
new or upgraded Oncology Information System 
o  Compare and contrast the departmental QM 
programs with national/international 
guidelines and best practice and make 
recommendations 
o  Develop commissioning project plan for a new 
Oncology Information System 
o  Develop new ongoing QA program for an 
Oncology Information System 
o  Participate in managing an ongoing QA program 
for an Oncology Information System 
o  Analyse the consequences of faults in major 
components of an Oncology Information System 
and the tests required to return the system to 
service 
o  Participate in the development of  a disaster 
recovery plan for the Radiotherapy Oncology 
Information System 
o  Review historical cases of the consequences of 
faults in Oncology Information Systems 
o  Prepare specifications and advice for a new 
Oncology Information System","o  New program or 
report 
summarizing 
recommendations 
o  Completed 
acceptance 
and/or 
commissioning 
records","o  Review of 
program or report 
by assessor","o   Understands links between an OIS and other systems in 
radiation oncology department 
o   Understands potential risks and limitations of an OIS, 
formulates strategies to mitigate them  and advises on 
clinical impact  
o  Makes recommendations for the safe and optimal clinical 
use of an OIS 
o  Provides scientific justification for recommendations 
o  Refers to literature to support conclusions 
o  Meets general criteria for communication 
o  Meets general criteria for professionalism"
"4.2.1.1 Understand 
the principles of 
IMRT","o  MSc coursework. 
o  Read and summarise references. 
o  Observe IMRT treatment planning, verification 
and delivery","o  MSc coursework.  
o 
Summary notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Defines IMRT and describes methods to modulate beams 
and their pros and cons, including 
o  Compensators, field in field, step and shoot and sliding 
window MLC, VMAT 
o  Explains how IMRT differs from 3D conformal therapy, 
identifies pros and cons.  Discusses impact of IMRT on 
planning volumes and dose constraints. 
o  Explains the connection between IMRT and inverse planning"
"4.2.1.2 Understand 
the key design 
principles and 
operation of MLC 
based IMRT","o  MSc coursework. 
o  Read and summarise references. 
o  Observe maintenance, repair and QA of MLCs. 
o  Participate in IMRT commissioning and QA","o  MSc coursework.  
o 
Summary notes.  
o  Logbook notes.","o  Recognition of 
Prior Learning,  
o  Review and Q&A 
with Assessor","o  Describes different MLC designs and their impact on IMRT 
delivery, e.g.: 
o  Leaf end type (round, straight) and movement 
mechanism 
o  Leaf design to minimize inter-leaf leakage 
o  Leaf width 
o  Leaf positional and speed accuracy 
o  Field size restrictions 
o  MLC used as secondary or tertiary collimator 
o 
Identifies parameters required to commission IMRT and 
explains their significance, e.g.: 
o  MLC transmission 
o  Dynamic leaf gap 
o 
Inter-leaf leakage 
o  Output factors, profiles and depth doses for small MLC 
defined fields 
o  MLC alignment with respect to collimator rotation axis"
"3.4.1.1 Describe the 
purpose of relative 
dose measurements","o  MSc coursework 
o  Read and summarise textbooks 
o  Tutorials 
o  Assist with / observe relative dose 
measurements","o  MSc assessment 
o  Logbook notes 
o 
Short report","o  RPL 
o  Assessor review 
of evidence / 
discussion","o 
Identifies key occasions when relative dose measurements 
are performed in the department including 
o  acceptance testing of linac and kV unit 
o  commissioning of linac and kV unit 
o  commissioning of TPS, independent MU checker and 
manual calculation  for MU or treatment time calculation 
o  annual QA 
o  measurement of patient specific factors (such as cutouts 
and treatment accessories) 
o  Explains relationship between absorbed dose determination 
under reference conditions and relative dose measurements."
"3.4.1.2 Define key 
relative dosimetry 
terms","o  MSc coursework 
o  Tutorials 
o  Read and summarise  
o  Textbooks 
o  Departmental dose calculation manuals 
o  TPS reference manual","o  MSc assessment. 
o  Logbook notes 
o 
Short report,","o  RPL 
o  Assessor review 
of evidence / 
discussion","o  Defines key relative dose factors, including: 
o  PDD 
o  TAR/TMR/TPR 
o  Off-axis ratios 
o  wedge factors 
o  scatter factors 
o 
total scatter 
o  head (collimator) scatter 
o  phantom scatter 
o  peak scatter  
o  backscatter  
o  electron and kV cutout and applicator factors 
o  accessory transmission factors (blocks, MLC, tray, couch, 
patient support devices) 
o  Definitions should include (where relevant): 
o  normalization depth 
o  reference field size 
o  SSD/SAD geometry 
o  Explains clinical relevance of above factors 
o  Aware of differences in use of factors and definitions in 
different departments"
"2.1.1.1 Interpret local 
regulations and how 
they relate to 
national and 
international 
recommendations","o  MSc coursework 
o  Read and summarize international, national 
(and state if relevant) protocols & legislation.","o  MSc assessment 
o  Report","o  RPL 
o 
Informal oral 
presentation to 
assessor","o  Lists international documents  
o  Lists national documents and legislation 
o  Lists state legislation (if applicable)  
o  Describes linkages between local/national and international 
documents 
o  Describes key recommendations and concepts for each 
document"
"2.1.1.2 Outline the 
key concepts of 
international 
reference documents 
for radiation 
protection","o  MSc coursework 
o  Read and summarize references 
o  Attend training day / tutorial","o  MSc assessment 
o  Report","o  RPL 
o 
Informal oral 
presentation to 
assessor","o  Key concepts should include: 
o  Risk/benefit analysis 
o 
Justification 
o  Optimization (ALARA) 
o  Limits 
o  Authorization 
o  Sources / controls 
o  Protection in relation to medical, occupational, public and 
environmental exposure to ionizing radiation"
"2.1.1.3 Identify how 
national (and state) 
legislation is 
implemented in 
department through 
local radiation 
management 
procedures","o  Compile an index of radiation protection 
documents in the department, noting their 
purpose and location.","o  Log book notes 
o  List of documents","o  Q&A session with 
assessor on local 
radiation safety 
management","o 
Identifies correspondence between local management 
procedures and 
o 
the legislative requirements listed in the first learning 
outcome 
o 
the key concepts listed in second learning outcome."
"2.1.1.4 Understand 
the role of the 
radiation safety 
committee","o  Participate in local Radiation Safety committee 
meetings. 
o  Read the Radiation Safety Committee meeting 
minutes. 
o  Assist the RSO with his/her duties for a period 
of time.",o  Written logbook,"o  Q&A session with 
assessor","o  Outlines the role and authority of the Radiation Safety 
Committee. 
o  Explains reporting lines of the Radiation Safety Committee. 
o  Outlines the role of the Radiation Safety Officer."
"4.7.2.2 Perform 
commissioning tests 
for an Oncology 
Information System","o  Read and summarise references, such as 
IPEM93 
o  Read previous departmental commissioning 
reports. 
o  Perform commissioning tests on a new or 
upgraded system or repeat commissioning 
procedure for an existing system 
o  Consult and coordinate with RT, IT and other 
relevant staff in their roles in commissioning of 
the OIS.","o  Summary notes. 
o  Commissioning 
report","o  Review records 
and Q&A with 
Assessor. 
o  Observation by 
Assessor.","o  Describes the relevance of each major step in the 
commissioning procedure 
o  Meets general criteria for practical work 
o  Performs tests and measurements listed in a suitable 
protocol, e.g., IPEM Report 93 
o  Draws appropriate conclusions from results 
o  Identifies limitations and tolerances 
o  Explains relationship between commissioning tests and 
ongoing QA."
